name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Mulatu Astatke,Person,Male,ET,1943-12-19,,Jimma,"Jimma, Oromīya, Ethiopia",,Ethiopia,,
Cloud Nothings,Group,,US,2009,,Cleveland,"Cleveland, Cuyahoga County, Ohio, United States",,United States,,
[theatre],Other,,XW,,,,,,[Worldwide],,
Waxahatchee,Person,Female,,,,Birmingham,"Birmingham, Jefferson County, Alabama, United States",,Brooklyn,,
Moses Sumney,Person,Male,,,,,,,Los Angeles,,
Stereo Total,Group,,DE,1993,,,,,Germany,,
Leisure,,,,,,,,,,,
Delta 5,Group,,GB,1979,1981,,,,United Kingdom,,
Sean Nicholas Savage,,,,,,,,,,,
Bondax,Group,,GB,,,,,,United Kingdom,,
Junior Kimbrough,Person,Male,,1930-07-28,1998-01-17,,,,Mississippi,,
AlunaGeorge,Group,,GB,2009,,London,"London, England, United Kingdom",,United Kingdom,,
Matt Berry,Person,Male,GB,1974-05-02,,,,,United Kingdom,,
Silk Rhodes,Group,,US,,,Baltimore,"Baltimore, Maryland, United States",,United States,,
Temples,Group,,FI,,,,,,Finland,,
Leslie Feist,Person,Female,CA,1976-02-13,,Amherst,"Amherst, Nova Scotia, Canada",,Canada,,
Jimi Hendrix,Person,Male,US,1942-11-27,1970-09-18,Seattle,"Seattle, King County, Washington, United States",,United States,,
Blackrock,Group,,GB,,,Nottingham,"Nottingham, England, United Kingdom",,United Kingdom,,
Funkadelic,Group,,US,1968,1981,Plainfield,"Plainfield, Union County, New Jersey, United States",,United States,,
Young-Holt Unlimited,Group,,US,1968,1974,Chicago,"Chicago, Cook County, Illinois, United States",,United States,,
The Amazing Snakeheads,Group,,,,,,,,,,
Kate Tempest,Person,Female,,1985-12-22,,Brockley,"Brockley, Lewisham, London, England, United Kingdom",,London,,
low,Group,,,,,,,,,,
Labyrinth Ear,Group,,GB,2010,,,,,United Kingdom,,
Warpaint,Group,,US,2004-02-14,,,,,United States,,
Rozi Plain,Person,,,,,,,,,,
Julia Holter,Person,Female,US,1984-12-18,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
New Navy,Group,,,,,,,,Sydney,,
Lower Dens,Group,,US,2009,,Baltimore,"Baltimore, Maryland, United States",,United States,,
The Last Shadow Puppets,Group,,GB,2007,,Sheffield,"Sheffield, South Yorkshire, England, United Kingdom",,United Kingdom,,
Lips,Person,Female,NZ,,,,,,New Zealand,,
Little Joy,Group,,,2007,,,,,,,
Alessi Brothers,Group,,US,1977,,,,,United States,,
Django Django,Group,,GB,2009,,London,"London, England, United Kingdom",,United Kingdom,,
Carole King,Person,Female,,1942-02-09,,Manhattan,"Manhattan, New York, New York, United States",,Stanley,,
Stephen Malkmus and the Jicks,Group,,US,2000,,Portland,"Portland, Multnomah County, Oregon, United States",,United States,,
Gonjasufi,Person,Male,US,1978,,Chula Vista,"Chula Vista, San Diego County, California, United States",,United States,,
Rush Midnight,Person,Male,,,,,,,Brooklyn,,
Can,Group,,,,,,,,,,
Sylvan Esso,Group,,,2012,,Durham,"Durham, Durham County, North Carolina, United States",,Durham,,
Sabina,Person,Female,DE,1975-02-23,,Rome,"Rome, Roma, Lazio, Italy",,Germany,,
Com Truise,Person,Male,US,,,Oneida,"Oneida, Madison County, New York, United States",,United States,,
The Drink,Group,,,,,,,,,,
"Albert Hammond, Jr.",Person,Male,US,1980-04-09,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Cotton Jones,Group,,US,2005,,Cumberland,"Cumberland, Allegany County, Maryland, United States",,United States,,
François & the Atlas Mountains,Group,,GB,,,,,,United Kingdom,,
The Jesus and Mary Chain,Group,,GB,1984,,East Kilbride,"East Kilbride, South Lanarkshire, Scotland, United Kingdom",,United Kingdom,,
The Walker Brothers,Group,,US,,,,,,United States,,
Soko,Group,,US,1990,,,,,United States,,
Cass McCombs,Person,Male,US,1977-11-13,,,,,United States,,
Os Mutantes,Group,,BR,1966,,São Paulo,"São Paulo, São Paulo, Brazil",,Brazil,,
Sarah Williams White,Person,Female,,,,,,,,,
The Virgins,Group,,,,,,,,,,
Chrome Sparks,Person,Male,US,,,,,,United States,,
The Electric Peanut Butter Company,Group,,US,2010,,,,,United States,,
Haley Bonar,Person,Female,US,1983,,,,,United States,,
Irma Thomas,Person,Female,US,1941-02-18,,Ponchatoula,"Ponchatoula, Tangipahoa Parish, Louisiana, United States",,United States,,
Casa del mirto,Group,,IT,,,,,,Italy,,
Vulfpeck,Group,,US,2011,,Ann Arbor,"Ann Arbor, Washtenaw County, Michigan, United States",,United States,,
Beastie Boys,Group,,US,1979,2014,New York,"New York, New York, United States",,United States,,
JAVELIN,,,,,,,,,,,
Star Slinger,Person,Male,GB,1986,,Nottinghamshire,"Nottinghamshire, England, United Kingdom",,United Kingdom,,
Bahamas,Person,Male,CA,1981-04-28,,Toronto,"Toronto, Ontario, Canada",,Canada,,
The Killer Meters,Group,,,,,,,,,,
Jan Hammer Group,Group,,,,,,,,,,
Willie Mitchell,Person,Male,US,,,,,,United States,,
The Phenomenal Handclap Band,Group,,,,,,,,,,
Acre,Person,,,,,,,,,,
Alabama Shakes,Group,,US,2009,,Athens,"Athens, Limestone County, Alabama, United States",,United States,,
Grupo Fantasma,Group,,,2000,,Austin,"Austin, Travis County, Texas, United States",,Texas,,
Laura Veirs,Person,Female,US,1973-10-24,,Colorado Springs,"Colorado Springs, El Paso County, Colorado, United States",,United States,,
Lee Moses,Person,Male,US,1941-03-13,1997,,,,United States,,
Jib Kidder,Group,,,2001-09,,,,,,,
Steely Dan,Group,,US,1972,,Annandale-on-Hudson,"Annandale-on-Hudson, Dutchess County, New York, United States",,United States,,
The Limiñanas,Group,,,2009-10,,Perpignan,"Perpignan, Pyrénées-Orientales, Languedoc-Roussillon, France",,Perpignan,,
Balthazar,Group,,BE,2004,,Kortrijk,"Kortrijk, West-Vlaanderen, Flanders, Belgium",,Belgium,,
Prince Rama,Group,,US,2007-07,,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
TV Girl,Group,,US,2010,,San Diego,"San Diego, San Diego County, California, United States",,United States,,
The Meters,Group,,US,1965,1977,New Orleans,"New Orleans, Louisiana, United States",,United States,,
George Harrison,Person,Male,GB,1943-02-24,2001-11-29,Liverpool,"Liverpool, Merseyside, England, United Kingdom",,United Kingdom,,
Monster Rally,Person,Male,US,,,,,,United States,,
King Curtis,Person,Male,US,1934-02-07,1971-08-13,Fort Worth,"Fort Worth, Tarrant County, Texas, United States",,United States,,
Bonde do Rolê,Group,,BR,2005,,Curitiba,"Curitiba, Paraná, Brazil",,Brazil,,
Richard Swift,Person,Male,US,1977-03-16,,California,"California, United States",,United States,,
Dorian Wood,Person,,,,,,,,,,
Linda Perhacs,Person,Female,US,1943,,Mill Valley,"Mill Valley, Marin County, California, United States",,United States,,
Mac DeMarco,Person,Male,CA,1990-04-30,,Duncan,"Duncan, British Columbia, Canada",,Canada,,
Deantoni Parks,Person,Male,US,1977-11-02,,Newnan,"Newnan, Coweta County, Georgia, United States",,United States,,
Sports,Group,,,2007-08-04,,,,,,,
Ariel Pink,Person,Male,US,1978-06-24,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Nosaj Thing,Person,Male,US,,,,,,United States,,
Benji Hughes,Person,Male,US,,,Charlotte,"Charlotte, Mecklenburg County, North Carolina, United States",,United States,,
A Sunny Day in Glasgow,Group,,US,2006,,,,,United States,,
Rachel Sweet,Person,Female,US,1962-07-28,,,,,United States,,
Silicon,,,,,,,,,,,
Bo Diddley,Person,Male,US,1928-12-30,2008-06-02,McComb,"McComb, Pike County, Mississippi, United States",,United States,,
Todd Rundgren,Person,Male,,1948-06-22,,Upper Darby Township,"Upper Darby Township, Delaware County, Pennsylvania, United States",,Princeville,,
Father John Misty,Person,Male,US,1981-05-03,,Rockville,"Rockville, Montgomery County, Maryland, United States",,United States,,
Michael Hurley,Person,Male,,1941-12-20,,,,,,,
Dirty Beaches,Group,,CA,,,,,,Canada,,
Native America,,,,,,,,,,,
DâM-FunK,Person,Male,US,,,,,,United States,,
Jonwayne,Person,Male,US,1990-06-05,,La Habra,"La Habra, Orange County, California, United States",,United States,,
Electric Guest,Group,,US,2005,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Django Reinhardt,Person,Male,FR,1910-01-23,1953-05-16,,,,France,,
Hoosky,,,,,,,,,,,
Perro,Group,,,,,,,,Murcia,,
Donovan,Group,,FR,2009,,,,,France,,
Wildbirds & Peacedrums,Group,,SE,2007,,Gothenburg,"Gothenburg, Västra Götaland, Sweden",,Sweden,,
Jim Sullivan,Person,Male,US,,,,,,United States,,
Misun,Group,,,,,,,,"Washington, D.C.",,
Benjamin Booker,Person,Male,,1989-06-14,,Virginia Beach,"Virginia Beach, Virginia, United States",,New Orleans,,
GUM,,,,,,,,,,,
The Snails,Group,,GB,,,,,,United Kingdom,,
Porches,Group,,US,,,,,,United States,,
The Equatics,Group,,,,,,,,,,
The Persuasions,Group,,US,1969,,,,,United States,,
Ta-ku,Person,Male,,,,,,,Perth,,
Joni Mitchell,Person,Female,CA,1943-11-07,,Fort Macleod,"Fort Macleod, Alberta, Canada",,Canada,,
Kanaku y El Tigre,Group,,PE,2008-01-01,,,,,Peru,,
Denise LaSalle,Person,Female,US,1939-07-16,,Mississippi,"Mississippi, United States",,United States,,
The Free Design,Group,,US,1967,1972,New York,"New York, United States",,United States,,
Joan Armatrading,Person,Female,GB,1950-12-09,,Saint Kitts,"Saint Kitts, Saint Kitts and Nevis",,United Kingdom,,
Lou Reed,Person,Male,US,1942-03-02,2013-10-27,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
Alex G,Person,Female,,,,,,,Los Angeles,,
The Clean,Group,,NZ,1978,,Dunedin,"Dunedin, Otago, South Island, New Zealand",,New Zealand,,
Slug,Group,,,,,,,,,,
Violent Femmes,Group,,US,1980,,Milwaukee,"Milwaukee, Milwaukee County, Wisconsin, United States",,United States,,
Mo Kolours,Person,Male,GB,,,,,,United Kingdom,,
The Staves,Group,,US,,,,,,United States,,
Dion,Person,Male,US,,,,,,United States,,
Lust for Youth,Group,,,,,,,,Copenhagen,,
The Cosmic Rays,Group,,,,,,,,Chicago,,
