name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Julian Cope,Person,Male,GB,1957-10-21,,"Deri, Caerphilly","Deri, Caerphilly, Monmouthshire, Wales, United Kingdom",,United Kingdom,,
Pale,Group,,DE,1993-09-11,,,,,Germany,,
Tropics,Group,,GB,2007,,,,,United Kingdom,,
Dungeonesse,Group,,,,,,,,,,
Kindness,Person,Male,GB,,,London,"London, England, United Kingdom",,United Kingdom,,
Eyedress,Person,Male,,,,,,,,,
Lydia Ainsworth,Person,Female,,,,Toronto,"Toronto, Ontario, Canada",,Toronto,,
Woman's Hour,Group,,GB,2011,,London,"London, England, United Kingdom",,United Kingdom,,
Health,Person,,,,,,,,,,
Gipsy Kings,Group,,FR,1987,,,,,France,,
Ibrahim Ferrer,Person,Male,CU,1927-02-20,2005-08-06,Santiago de Cuba,"Santiago de Cuba, Cuba",,Cuba,,
Sierra Maestra,Group,,CU,1976,,,,,Cuba,,
Chucho Valdés,Person,Male,CU,1941-10-09,,Quivicán,"Quivicán, Mayabeque, Cuba",,Cuba,,
Rubén González,Person,Male,CU,1919-05-26,2003-12-08,,,,Cuba,,
Orishas,Group,,CU,1999,2010,,,,Cuba,,
Eliades Ochoa,Person,Male,CU,1946-06-22,,,,,Cuba,,
Los Zafiros,Group,,CU,1961,,,,,Cuba,,
Machito,Person,Male,CU,1908-02-16,1984-04-19,La Habana,"La Habana, Cuba",,Cuba,,
Poncho Sanchez,Person,Male,US,1951-10-30,,Laredo,"Laredo, Webb County, Texas, United States",,United States,,
Beny Moré,Person,Male,CU,1919-08-24,1963-02-19,,,,Cuba,,
Chico O’Farrill,Person,Male,CU,1921-10-28,2001-06-27,La Habana,"La Habana, Cuba",,Cuba,,
Los Van Van,Group,,CU,1969-12-04,,,,,Cuba,,
Compay Segundo,Person,Male,CU,1907-11-18,2003-07-13,,,,Cuba,,
Israel “Cachao” López,Person,Male,CU,1918-09-14,2008-03-22,La Habana,"La Habana, Cuba",,Cuba,,
La Sonora Matancera,Group,,CU,1924-01-12,2001-05-13,,,,Cuba,,
Afro‐Cuban All Stars,Group,,CU,,,,,,Cuba,,
Soneros de Verdad,Group,,CU,,,,,,Cuba,,
Roberto Fonseca,Person,Male,CU,1975,,,,,Cuba,,
Orquesta Aragón,Group,,CU,1939-09-30,,Cienfuegos,"Cienfuegos, Cienfuegos, Cuba",,Cuba,,
Kevin Johansen,Person,Male,AR,1964-06-21,,,,,Argentina,,
Patricio Rey y sus Redonditos de Ricota,Group,,AR,1976,2002,,,,Argentina,,
Pescado Rabioso,Group,,AR,1971,1973,Buenos Aires,"Buenos Aires, Argentina",,Argentina,,
Fito Páez,Person,Male,AR,1963-03-13,,Rosario,"Rosario, Santa Fe, Argentina",,Argentina,,
Gustavo Cerati,Person,Male,AR,1959-08-11,2014-09-04,Buenos Aires,"Buenos Aires, Argentina",,Argentina,,
Estelares,Group,,AR,1994,,,,,Argentina,,
Raffi,Person,Male,CA,1948-07-08,,Cairo,"Cairo, Al Qāhirah, Egypt",,Canada,,
Pete Seeger,Person,Male,US,1919-05-03,2014-01-27,Manhattan,"Manhattan, New York, New York, United States",,United States,,
Judy Kuhn,Person,Female,US,1958-05-20,,,,,United States,,
Hayden Panettiere,Person,Female,US,1989-08-21,,,,,United States,,
Barry Louis Polisar,Person,,US,,,,,,United States,,
Kermit the Frog,Character,Male,,1955-05-09,,,,,,,
Shaina Noll,Person,,,1955,,,,,,,
Eddy Current Suppression Ring,Group,,AU,2003,,Melbourne,"Melbourne, Victoria, Australia",,Australia,,
Happy Birthday,Group,,,,,,,,,,
DJ Jazzy Jeff,Person,Male,US,1965-01-22,,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States",,United States,,
Diarrhea Planet,Group,,US,2009,,Nashville,"Nashville, Davidson County, Tennessee, United States",,United States,,
The Kingsmen,Group,,US,1959,,Portland,"Portland, Multnomah County, Oregon, United States",,United States,,
Jimmy Soul,Person,Male,US,1942-08-24,1988-06-25,,,,United States,,
Swingin’ Medallions,Group,,US,1962,,Greenwood,"Greenwood, Greenwood County, South Carolina, United States",,United States,,
Jim Croce,Person,Male,US,1943-01-10,1973-09-20,Philadelphia,"Philadelphia, Philadelphia County, Pennsylvania, United States",,United States,,
Chad & Jeremy,Group,,GB,1960,,London,"London, England, United Kingdom",,United Kingdom,,
Brenton Wood,Person,Male,US,1941-07-26,,,,,United States,,
The Flying Burrito Brothers,Group,,US,1968,2000,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Vince Staples,Person,Male,US,1993-07-02,,Long Beach,"Long Beach, Los Angeles County, California, United States",,United States,,
Ride,Group,,GB,1988,1996,Oxford,"Oxford, Oxfordshire, England, United Kingdom",,United Kingdom,,
Jacuzzi Boys,Group,,DE,,,,,,Germany,,
Balue,Person,Male,US,,,,,,United States,,
Dengue Fever,Group,,US,2001,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Smith,Group,,US,1969,1970,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Sloan,Group,,,1992,,Halifax,"Halifax, Nova Scotia, Canada",,Toronto,,
Blake Mills,Person,Male,,1986-09-26,,Santa Monica,"Santa Monica, Los Angeles County, California, United States",,,,
Strange Names,Group,,US,,,,,,United States,,
Slothrust,Group,,,2010,,Boston,"Boston, Suffolk County, Massachusetts, United States",,Brooklyn,,
Flake Music,Group,,,1992,1999,,,,,,
The Troggs,Group,,GB,1964,2012-01,Hampshire,"Hampshire, England, United Kingdom",,United Kingdom,,
Ben E. King,Person,Male,US,1938-09-28,2015-04-30,Henderson,"Henderson, Vance County, North Carolina, United States",,United States,,
? and the Mysterians,Group,,US,1962,,Saginaw,"Saginaw, Saginaw County, Michigan, United States",,United States,,
Curtis Lee,Person,Male,US,1939-10-28,2015-01-08,Yuma,"Yuma, Yuma County, Arizona, United States",,United States,,
The Marcels,Group,,US,1959,,Pittsburgh,"Pittsburgh, Allegheny County, Pennsylvania, United States",,United States,,
The Rivieras,Group,,,,,,,,,,
The Cascades,Group,,US,1960,,San Diego,"San Diego, San Diego County, California, United States",,United States,,
The Mars Volta,Group,,US,2001,2013,El Paso,"El Paso, El Paso County, Texas, United States",,United States,,
At the Drive‐In,Group,,US,1994,,El Paso,"El Paso, El Paso County, Texas, United States",,United States,,
Devonté Hynes,Person,Male,GB,1985-12-23,,,,,United Kingdom,,
Spazzkid,Person,Male,,,,,,,Los Angeles,,
Emmanuel Jal,Person,Male,SS,1980,,Tonj,"Tonj, Warrap, South Sudan",,South Sudan,,
Seekae,Group,,AU,2006,,Sydney,"Sydney, New South Wales, Australia",,Australia,,
Modeselektor,Group,,DE,1996,,Berlin,"Berlin, Germany",,Germany,,
Planningtorock,Person,Female,GB,????-01-25,,,,,United Kingdom,,
Say Yes Dog,,,,,,,,,,,
Taggy Matcher,,,,,,,,,,,
Apparat,Person,Male,DE,1978-06-27,,Quedlinburg,"Quedlinburg, Sachsen-Anhalt, Germany",,Germany,,
Farhot,Person,Male,DE,,,Afghanistan,Afghanistan,,Germany,,
Biga Ranx,Person,Male,FR,1988-09-27,,Tours,"Tours, Indre-et-Loire, Centre, France",,France,,
Wise Blood,Person,Male,US,,,,,,United States,,
Rejjie Snow,Person,Male,IE,,,,,,Ireland,,
Janet Jackson,Person,Female,US,1966-05-16,,Gary,"Gary, Lake County, Indiana, United States",,United States,,
Sun City Girls,Group,,US,1981,2007,Phoenix,"Phoenix, Maricopa County, Arizona, United States",,United States,,
Payment,,,,,,,,,,,
Noggin,,,,,,,,,,,
Thinking Fellers Union Local 282,Group,,US,,,,,,United States,,
Staked Plain,,,,,,,,,,,
Pork Queen,,,,,,,,,,,
Bugskull,Group,,US,1992,,Portland,"Portland, Multnomah County, Oregon, United States",,United States,,
Kathleen Yearwood,,,,,,,,,,,
Loren MazzaCane Connors,Person,Male,US,1949-10-21,,,,,United States,,
B.C. Scar,,,,,,,,,,,
Refrigerator,Group,,US,,,,,,United States,,
Good Horsey,Group,,,,,,,,,,
Blaise Pascal,,,,,,,,,,,
Roughage,,,,,,,,,,,
The Extra Lens,Group,,US,,,,,,United States,,
Melchor,,,,,,,,,,,
Thee Crusaders,,,,,,,,,,,
U.S. Saucer,Group,,,,,,,,,,
Paste,Person,,US,,,,,,United States,,
Jain,,,,,,,,,,,
Houndmouth,Group,,US,2011,,New Albany,"New Albany, Floyd County, Indiana, United States",,United States,,
Chet Faker,Person,Male,AU,1988-06-23,,Melbourne,"Melbourne, Victoria, Australia",,Australia,,
Escondido,,,,,,,,,,,
Henry Wolfe,Person,,,1979-11-13,,,,,,,
Survive,Group,,,,,,,,,,
Koola Lobitos,Group,,,,,,,,,,
Black Marble,,,,,,,,,,,
Autolux,Group,,US,2000,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
The Bright Light Social Hour,Group,,US,2002,,Austin,"Austin, Travis County, Texas, United States",,United States,,
Goodnight Radio,Person,Male,,,,,,,,,
Pile,Group,,,,,,,,,,
Rubblebucket,Group,,US,2008,,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
Makthaverskan,Group,,,,,,,,Gothenburg,,
Family Portrait,Group,,US,2009,,,,,United States,,
Viet Cong,Group,,CA,,,,,,Canada,,
together PANGEA,Group,,,2008,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,Los Angeles,,
Phantom Planet,Group,,US,1994,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
The Undertones,Group,,GB,1975,,Derry,"Derry, County Londonderry, Northern Ireland, Ireland",,United Kingdom,,
Shawn Colvin,Person,Female,US,1956-01-10,,Vermillion,"Vermillion, Clay County, South Dakota, United States",,United States,,
Joan Osborne,Person,Female,US,1963-07-08,,,,,United States,,
Jewel,Person,,,,,,,,,,
Deep Blue Something,Group,,US,1992,2001,Denton,"Denton, Denton County, Texas, United States",,United States,,
Nine Inch Nails,Group,,US,1988,,Cleveland,"Cleveland, Cuyahoga County, Ohio, United States",,United States,,
Toadies,Group,,US,1989,,,,,United States,,
Cracker,Group,,US,1991,,,,,United States,,
Spacehog,Group,,GB,1994,,New York,"New York, New York, United States",,United Kingdom,,
Diana Ross,Person,Female,,1944-03-26,,Detroit,"Detroit, Wayne County, Michigan, United States",,Greenwich,,
The Four Seasons,Group,,US,1960,,Newark,"Newark, Essex County, New Jersey, United States",,United States,,
The Guess Who,Group,,CA,1962,,Winnipeg,"Winnipeg, Manitoba, Canada",,Canada,,
Steve Miller Band,Group,,US,1967,,San Francisco,"San Francisco, California, United States",,United States,,
The Young Rascals,Group,,US,1964,1968,New York,"New York, New York, United States",,United States,,
J.J. Jackson,Person,Male,US,1941-04-08,,Gillett,"Gillett, Arkansas County, Arkansas, United States",,United States,,
Tommy James,Person,Male,US,1947-04-29,,Dayton,"Dayton, Montgomery County, Ohio, United States",,United States,,
America,Group,,US,1970,,London,"London, England, United Kingdom",,United States,,
King Harvest,Group,,US,,,,,,United States,,
The Archies,Group,,US,1968,1973,,,,United States,,
Barry McGuire,Person,Male,US,1935-10-15,,Oklahoma City,"Oklahoma City, Oklahoma County, Oklahoma, United States",,United States,,
Scott McKenzie,Person,Male,US,1939-01-10,2012-08-18,Jacksonville,"Jacksonville, Duval County, Florida, United States",,United States,,
The Turtles,Group,,US,1965,1971,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
The Left Banke,Group,,US,1965,1969,,,,United States,,
We Five,Group,,US,1964,1970,,,,United States,,
Herman’s Hermits,Group,,GB,1963,,Manchester,"Manchester, Greater Manchester, England, United Kingdom",,United Kingdom,,
Harpers Bizarre,Group,,US,1967,1976,Santa Cruz,"Santa Cruz, Santa Cruz County, California, United States",,United States,,
Sonny Bono,Person,Male,US,1935-02-16,1998-01-05,Detroit,"Detroit, Wayne County, Michigan, United States",,United States,,
Peter & Gordon,Group,,GB,1964,2009,,,,United Kingdom,,
The Dave Clark Five,Group,,GB,1958,1970,,,,United Kingdom,,
The Box Tops,Group,,US,1967,,Memphis,"Memphis, Shelby County, Tennessee, United States",,United States,,
The Toys,Group,,,,,,,,,,
Gillette,Person,Female,US,1974-09-16,,,,,United States,,
Swervedriver,Group,,GB,1989,,Oxford,"Oxford, Oxfordshire, England, United Kingdom",,United Kingdom,,
Slint,Group,,US,1987,1992,Louisville,"Louisville, Jefferson County, Kentucky, United States",,United States,,
The Adicts,Group,,GB,1975,,Ipswich,"Ipswich, Suffolk, England, United Kingdom",,United Kingdom,,
Reel Big Fish,Group,,US,1992,,Huntington Beach,"Huntington Beach, Orange County, California, United States",,United States,,
Dawes,Person,Male,NL,,,,,,Netherlands,,
Quiet Life,Group,,,2006,,New London,"New London, New London County, Connecticut, United States",,Portland,,
Gregory Alan Isakov,Person,,,,,,,,,,
Plants and Animals,Group,,CA,2003,,Montreal,"Montreal, Quebec, Canada",,Canada,,
A.A. Bondy,Person,Male,US,,,,,,United States,,
Mandolin Orange,Group,,US,,,,,,United States,,
Deer Tick,Group,,US,2004,,,,,United States,,
The Felice Brothers,Group,,US,2006,,,,,United States,,
Alexi Murdoch,Person,Male,GB,1973-12-27,,London,"London, England, United Kingdom",,United Kingdom,,
Barefoot Truth,Group,,,2005-06,,,,,,,
Me & My Toothbrush,,,,,,,,,,,
CamelPhat,,,,,,,,,,,
Croatia Squad,,,,,,,,,,,
Lane 8,Person,Male,,,,,,,,,
KRONO,Group,,FR,2008-01-01,,,,,France,,
Wild Culture,Group,,AT,,,,,,Austria,,
Alan Fitzpatrick,Person,Male,GB,,,,,,United Kingdom,,
Ohmna,Person,Male,NL,,,,,,Netherlands,,
Bob Moses,Person,Male,US,1948-01-28,,,,,United States,,
Russ Liquid,,,,,,,,,,,
Matt Lange,Person,,,,,,,,,,
Dorfex Bos,,,,,,,,,,,
Envio,,,,,,,,,,,
Sunlounger,Group,,,,,,,,,,
Klems,Person,,FR,,,,,,France,,
Robert Nickson,Person,Male,GB,1982-04-24,,,,,United Kingdom,,
Ferry Corsten,Person,Male,NL,1973-12-04,,Rotterdam,"Rotterdam, Rotterdam, Zuid-Holland, Netherlands",,Netherlands,,
Solid Sessions,Group,,,1999,,,,,,,
Jerome Isma‐Ae,Person,Male,DE,,,,,,Germany,,
Aly & Fila,Group,,EG,,,,,,Egypt,,
Arnej,Person,Male,CA,1980-09-07,,,,,Canada,,
Dinka,Group,,CH,,,,,,Switzerland,,
Philthy Chit,Group,,,,,,,,,,
Pridjevi,Group,,,,,,,,Zagreb,,
Lo,Person,Male,FR,,,,,,France,,
Half Moon Run,Group,,CA,2010-04,,Montreal,"Montreal, Quebec, Canada",,Canada,,
ON AN ON,Group,,US,2012,,,,,United States,,
Toto,Group,,US,1977,2008-06,Van Nuys,"Van Nuys, Los Angeles County, California, United States",,United States,,
Orleans,Group,,US,1972,,,,,United States,,
ZZ Top,Group,,US,1969,,Houston,"Houston, Harris County, Texas, United States",,United States,,
Heart,Group,,CA,1973,,Seattle,"Seattle, King County, Washington, United States",,Canada,,
Steve Winwood,Person,Male,GB,1948-05-12,,Handsworth,"Handsworth, Birmingham, West Midlands, England, United Kingdom",,United Kingdom,,
Joey Scarbury,Person,Male,US,1955-06-07,,Ontario,"Ontario, San Bernardino County, California, United States",,United States,,
Rupert Holmes,Person,Male,US,1947-02-24,,Northwich,"Northwich, Cheshire West and Chester, England, United Kingdom",,United States,,
Sidney Bechet,Person,Male,US,1897-05-14,1959-05-14,New Orleans,"New Orleans, Louisiana, United States",,United States,,
The Dukes of Dixieland,Group,,US,1948,,,,,United States,,
Jack Teagarden,Person,Male,US,1905-08-20,1964-01-15,Vernon,"Vernon, Wilbarger County, Texas, United States",,United States,,
Kenny Ball,Person,Male,GB,1930-05-22,2013-03-07,Ilford,"Ilford, Redbridge, London, England, United Kingdom",,United Kingdom,,
Kid Ory,Person,Male,US,1886-12-25,1973-01-23,Louisiana,"Louisiana, United States",,United States,,
Dutch Swing College Band,Group,,NL,1945-05-05,,,,,Netherlands,,
The Dirty Dozen Brass Band,Group,,US,1977,,,,,United States,,
Al Hirt,Person,Male,US,1922-11-07,1999-04-27,,,,United States,,
Rebirth Brass Band,Group,,US,1983,,New Orleans,"New Orleans, Louisiana, United States",,United States,,
Calabrese,Group,,US,2003,,,,,United States,,
Cancerslug,Group,,,1999-11-11,,,,,,,
Graves,Group,,,2001,2003,,,,,,
Wednesday 13,Group,,US,,,,,,United States,,
Blitzkid,Group,,,1997,,,,,,,
Murderland,Group,,,2005,,,,,Los Angeles,,
Michale Graves,Person,Male,US,1975-03-21,,,,,United States,,
The Spookshow,Group,,,,,,,,,,
Jazz at Lincoln Center,Other,,,,,,,,,,
Wynton Marsalis,Person,Male,US,1961-10-18,,,,,United States,,
Dexter Gordon,Person,Male,US,1923-02-27,1990-04-25,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
"Grover Washington, Jr.",Person,Male,US,1943-12-12,1999-12-17,Buffalo,"Buffalo, Erie County, New York, United States",,United States,,
Miles Davis,Person,Male,US,,,,,,United States,,
Cecil Taylor,Person,Male,US,1929-03-15,,,,,United States,,
Dave Brubeck,Person,Male,US,1920-12-06,2012-12-05,California,"California, United States",,United States,,
Thelonious Monk,Person,Male,US,1917-10-10,1982-02-17,Rocky Mount,"Rocky Mount, Nash County, North Carolina, United States",,United States,,
Dizzy Gillespie Sextet,Group,,US,,,,,,United States,,
Dizzy Gillespie & His All Stars,Group,,,,,,,,,,
Gene Krupa,Person,Male,,1909-01-15,1973-10-16,,,,Illinois,,
Noble Sissle and His Orchestra,Group,,,,,,,,,,
Jones-Smith Incorporated,Group,,US,,,,,,United States,,
Charlie Christian,Person,Male,US,1916-07-29,1942-03-02,Bonham,"Bonham, Fannin County, Texas, United States",,United States,,
Bennie Moten's Kansas City Orchestra,Group,,US,,,,,,United States,,
Paul Whiteman & His Orchestra,Group,,US,,,,,,United States,,
The Jungle Band,Group,,,,,,,,,,
Fletcher Henderson and His Orchestra,Group,,US,,,,,,United States,,
Jelly Roll Morton's Red Hot Peppers,Group,,US,,,,,,United States,,
The Abyssinian Baptist Church Sanctuary Choir,Group,,,,,,,,,,
Jacqueline Schwab,Person,,,,,,,,,,
Jay Ungar,Person,Male,US,1946-11-14,,The Bronx,"The Bronx, New York, New York, United States",,United States,,
John Colby,Person,,,,,,,,,,
The Old Bethpage Brass Band,Group,,,,,,,,,,
The New American Brass Band,Group,,,,,,,,,,
Civil War,Group,,SE,2012,,,,,Sweden,,
Art Baron,Person,Male,US,1950-01-05,,,,,United States,,
Bobby Horton,Person,,,,,,,,,,
Molly Mason,Person,Female,US,,,,,,United States,,
Bernice Johnson Reagon,Person,Female,,1942-10-04,,,,,,,
Paul Roebling,Person,,,1934-03-01,1994-07-27,,,,,,
Yeasayer,Group,,US,2006,,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
The Beta Band,Group,,GB,1997,2004,Edinburgh,"Edinburgh, Scotland, United Kingdom",,United Kingdom,,
Jerry Cantrell,Person,Male,,1966-03-18,,Tacoma,"Tacoma, Pierce County, Washington, United States",,Los Angeles,,
The Connells,Group,,US,1984,,Raleigh,"Raleigh, Wake County, North Carolina, United States",,United States,,
D Generation,Group,,US,1991,1999,New York,"New York, New York, United States",,United States,,
Mike Watt,,,,,,,,,,,
RIVKA,Group,,US,,,Pittsburgh,"Pittsburgh, Allegheny County, Pennsylvania, United States",,United States,,
POND,Group,,DE,1978,,Berlin,"Berlin, Germany",,Germany,,
David Vandervelde,Person,Male,US,1984-09-03,,Holland,"Holland, Ottawa County, Michigan, United States",,United States,,
Willie Brown,Person,Male,US,1900-08-06,1952-12-30,Clarksdale,"Clarksdale, Coahoma County, Mississippi, United States",,United States,,
Luther Magby,Person,,,,,,,,,,
Willie Harris,Person,,,,,,,,,,
Blind Roosevelt Graves,Person,Male,US,1909-12-09,1962-12-30,,,,United States,,
Whistler and His Jug Band,Group,,,,,,,,,,
Blind Willie Davis,Person,Male,US,,,,,,United States,,
Mattie Delaney,Person,Female,US,1905,,Mississippi,"Mississippi, United States",,United States,,
Garfield Akers,Person,Male,US,,,Mississippi,"Mississippi, United States",,United States,,
Curley Weaver,Person,Male,US,1906-03-25,1962-09-20,Covington,"Covington, Newton County, Georgia, United States",,United States,,
Bayless Rose,,,,,,,,,,,
Eddie Head and His Family,Group,,,,,,,,,,
Peg Leg Howell,Person,Male,US,1888-03-05,1966-08-11,Eatonton,"Eatonton, Putnam County, Georgia, United States",,United States,,
Henry Brown,Person,Male,US,1906,1981-06-28,,,,United States,,
King Solomon Hill,Person,Male,US,,,,,,United States,,
Thomas A. Dorsey,Person,Male,US,1899-07-01,1993-01-23,Villa Rica,"Villa Rica, Carroll County, Georgia, United States",,United States,,
Jim Thompkins,Person,,,,,,,,,,
Johnny Temple,Person,Male,US,1906-10-18,1968-11-22,,,,United States,,
Sam Collins,Person,Male,US,1887-08-11,1949-10-20,Louisiana,"Louisiana, United States",,United States,,
Kansas Joe McCoy,Person,Male,US,1905-05-11,1950-01-28,Raymond,"Raymond, Hinds County, Mississippi, United States",,United States,,
"Alger ""Texas"" Alexander",Person,Male,US,1900-09-12,1954-04-16,,,,United States,,
Jaybird Coleman,Person,Male,US,1896-05-20,1950-01-28,,,,United States,,
Delta Big Four,,,,,,,,,,,
Ishmon Bracey,Person,Male,US,1901-01-09,1970-02-12,Byram,"Byram, Hinds County, Mississippi, United States",,United States,,
Ed Bell,Person,Male,US,1905-05,1960,Fort Deposit,"Fort Deposit, Lowndes County, Alabama, United States",,United States,,
Blind Joe Reynolds,Person,Male,US,,1968,,,,United States,,
Charley Jordan,Person,Male,US,1890-01-01,1954-11-15,Pulaski County,"Pulaski County, Arkansas, United States",,United States,,
Bo Weavil Jackson,Person,Male,US,,,Birmingham,"Birmingham, Jefferson County, Alabama, United States",,United States,,
Hattie Hart,,,,,,,,,,,
The Stripling Brothers,Group,,US,1929,1936,,,,United States,,
Tommie Bradley,Person,Male,US,,,,,,United States,,
Geeshie Wiley,Person,Female,US,,,,,,United States,,
Kid Bailey,Person,Male,US,,,,,,United States,,
Frank Stokes,Person,Male,US,1888-01-01,1955-09-12,Shelby County,"Shelby County, Tennessee, United States",,United States,,
Josh White,Person,Male,US,1914-02-11,1969-09-05,Greenville,"Greenville, Greenville County, South Carolina, United States",,United States,,
Freddie Spruell,Person,Male,US,1893-12-28,1956-06-19,Louisiana,"Louisiana, United States",,United States,,
Sam Chatmon,Person,Male,US,1897-01-10,1983-02-02,,,,United States,,
Rev. Edward W. Clayborn,Person,,,,,,,,,,
George Carter,,,,,,,,,,,
Sylvester Weaver,Person,Male,US,1897-07-25,1960-04-04,Louisville,"Louisville, Jefferson County, Kentucky, United States",,United States,,
Nugrape Twins,Group,,,,,,,,,,
Dallas String Band,Group,,US,,,,,,United States,,
Bessie Johnson,,,,,,,,,,,
Minnie Wallace,Person,Female,US,,,,,,United States,,
Memphis Sanctified Singers,,,,,,,,,,,
Robert Wilkins,Person,Male,US,1896-01-16,1987-05-26,Hernando,"Hernando, DeSoto County, Mississippi, United States",,United States,,
Casey Bill Weldon,Person,Male,US,1909-12-10,1970,Pine Bluff,"Pine Bluff, Jefferson County, Arkansas, United States",,United States,,
Rube Lacy,Person,Male,US,1902-01-02,1972,Mississippi,"Mississippi, United States",,United States,,
Frank Palmes,Person,,,,,,,,,,
Blind Joe Taggart,Person,,,,,,,,,,
Tampa Kid,,,,,,,,,,,
The Mississippi Moaner,Person,,,,,,,,,,
Sonny Boy Nelson,Person,,,,,,,,,,
Walter Rhodes,Person,,,,,,,,,,
Pearl Dickson,Person,,,,,,,,,,
Blind Mamie Forehand,Person,Female,US,,1936,,,,United States,,
Henry Spaulding,Person,Male,US,,,,,,United States,,
Dennis Crumpton,Person,Male,US,,,,,,United States,,
Otto Virgial,Person,Male,US,,,,,,United States,,
Dock Reed,Person,,,,,,,,,,
Othar Turner,Person,Male,US,1907-06-02,2003-02-26,,,,United States,,
Tommy McClennan,Person,Male,US,1908-04-08,1962,Yazoo City,"Yazoo City, Yazoo County, Mississippi, United States",,United States,,
Washboard Sam,Person,Male,US,1910-07-15,1966-11-06,Walnut Ridge,"Walnut Ridge, Lawrence County, Arkansas, United States",,United States,,
Little Hat Jones,Person,Male,US,1899-10-05,1981-03-07,,,,United States,,
South Street Trio,Group,,,,,,,,,,
Barbecue Bob,Person,Male,US,1902-09-11,1931-10-21,Walnut Grove,"Walnut Grove, Walton County, Georgia, United States",,United States,,
Mississippi Mud Steppers,Group,,,,,,,,,,
Whistlin' Rufus,,,,,,,,,,,
Bull City Red,Person,Male,,,,,,,North Carolina,,
Bogus Ben Covington,Person,,,,,,,,,,
Little Brother Montgomery,Person,Male,US,1906-04-18,1985-09-06,,,,United States,,
Little Buddy Doyle,Person,Male,US,1911-03-20,,Forrest City,"Forrest City, St. Francis County, Arkansas, United States",,United States,,
Crazy P,Group,,GB,1995,,Nottingham,"Nottingham, England, United Kingdom",,United Kingdom,,
Todd Terje,Person,Male,NO,1981-05-11,,Buskerud,"Buskerud, Norway",,Norway,,
Azari & III,Group,,CA,,,,,,Canada,,
John Talabot,Person,Male,ES,,,,,,Spain,,
6th Borough Project,,,GB,,,,,,United Kingdom,,
Escort,Group,,US,,,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
Aeroplane,Group,,,,,,,,,,
Faze Action,Group,,GB,1995,,London,"London, England, United Kingdom",,United Kingdom,,
Maya Jane Coles,Person,Female,GB,1988,,London,"London, England, United Kingdom",,United Kingdom,,
Soul Clap,Group,,US,,,,,,United States,,
III,Group,,JP,,,,,,Japan,,
Discodeine,Group,,FR,2007,,,,,France,,
iLoveMakonnen,Person,Male,,1989-06-13,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,Atlanta,,
J. Cole,Person,Male,US,1985-01-28,,Frankfurt am Main,"Frankfurt am Main, Hessen, Germany",,United States,,
Taco,Person,Male,NL,1955-07-21,,,,,Netherlands,,
James Carr,Person,Male,US,1942-06-13,2001-01-07,,,,United States,,
The Mar-Keys,Group,,US,1958,1971,,,,United States,,
Rufus Thomas,Person,Male,US,1917-03-26,2001-12-15,Cayce,"Cayce, Marshall County, Mississippi, United States",,United States,,
William Bell,Person,Male,US,1939-07-16,,Memphis,"Memphis, Shelby County, Tennessee, United States",,United States,,
Isaac Hayes,Person,Male,US,1942-08-20,2008-08-10,Covington,"Covington, Tipton County, Tennessee, United States",,United States,,
Johnnie Taylor,Person,Male,US,1934-05-05,2000-05-31,Crawfordsville,"Crawfordsville, Crittenden County, Arkansas, United States",,United States,,
The Sweet Inspirations,Group,,US,1963,,New York,"New York, New York, United States",,United States,,
Swamp Dogg,Person,,US,1942-07-12,,Portsmouth,"Portsmouth, Virginia, United States",,United States,,
Syl Johnson,Person,Male,US,1936-07-01,,Holly Springs,"Holly Springs, Marshall County, Mississippi, United States",,United States,,
Wendy Rene,Person,Female,US,1947,2014-12-16,Memphis,"Memphis, Shelby County, Tennessee, United States",,United States,,
Mel & Tim,Group,,US,1969,,Chicago,"Chicago, Cook County, Illinois, United States",,United States,,
Survivor,,,ZA,,,,,,South Africa,,
Christine McVie,Person,Female,GB,1943-07-12,,,,,United Kingdom,,
Pretenders,Group,,GB,1978-03,,Hereford,"Hereford, Herefordshire, England, United Kingdom",,United Kingdom,,
Brothers of Soul,,,,,,,,,,,
The Superbs,,,,,,,,,,,
Hill Sisters,,,,,,,,,,,
Natural Resource,Group,,,,,,,,,,
The Gliders,,,,,,,,,,,
The Magic Touch,Group,,DE,,,,,,Germany,,
Lee Williams & The Cymbals,Group,,,,,,,,,,
The Fightin' Texas Aggie Band,Group,,,1894,,,,,,,
University of Michigan Marching Band,Group,,US,1896,,,,,United States,,
