id,name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng,place_id,place,place_full,place_latlng
5942ebdf-6573-4a68-b686-e0e37307344b,The Limiñanas,Group,,,2009-10,,Perpignan,,,Perpignan,,,421bfc2c-aba2-4019-87a8-0630f42e6f8d,Perpignan,"Perpignan, Pyrénées-Orientales, Languedoc-Roussillon, France",
91511517-ef93-4d71-a0f0-c858272af4a7,Balthazar,Group,,BE,2004,,Kortrijk,,,Belgium,,,4420283f-e0d7-4388-9a70-ff2b27bb4792,Kortrijk,"Kortrijk, West-Vlaanderen, Flanders, Belgium",
6ca24ff0-c0dd-4c37-8029-f052dafb1e4a,Prince Rama,Group,,US,2007-07,,Brooklyn,,,United States,,,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,"Brooklyn, New York, New York, United States",
38f0c7ac-46eb-49ca-b3ab-c785ccd05a60,TV Girl,Group,,US,2010,,San Diego,,,United States,,,82f3a697-ba65-404d-a1ed-360147af7d10,San Diego,"San Diego, San Diego County, California, United States",
851827d6-ae31-4093-a166-1420cac610a4,The Meters,Group,,US,1965,1977,New Orleans,,,United States,,,3c5a0506-d852-4e96-8d1e-d8126328f3be,New Orleans,"New Orleans, Louisiana, United States",
42a8f507-8412-4611-854f-926571049fa0,George Harrison,Person,Male,GB,1943-02-24,2001-11-29,Liverpool,,,United Kingdom,,,c249c30e-88ab-4b2f-a745-96a25bd7afee,Liverpool,"Liverpool, Merseyside, England, United Kingdom",
ba934f3d-4e53-482a-a632-6848935de50c,Monster Rally,Person,Male,US,,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
151231cb-fca6-42e0-976a-66b07193d657,King Curtis,Person,Male,US,1934-02-07,1971-08-13,Fort Worth,,,United States,,,ae96202a-e993-45de-adfe-a8c6b66a781d,Fort Worth,"Fort Worth, Tarrant County, Texas, United States",
719490ec-2962-41b9-a54e-a4cc7b65c86c,Bonde do Rolê,Group,,BR,2005,,Curitiba,,,Brazil,,,65b55c0f-a4fb-42e4-9b9d-1a63d6502166,Curitiba,"Curitiba, Paraná, Brazil",
dd5f8909-245d-458b-833a-cd6b698399ce,Richard Swift,Person,Male,US,1977-03-16,,California,,,United States,,,ae0110b6-13d4-4998-9116-5b926287aa23,California,"California, United States",
e0ae427c-c054-467d-b8af-8c610d7128ab,Dorian Wood,Person,,,,,,,,,,,,,,
89967ce2-3f9a-4dad-b8c8-491bb87b73fe,Linda Perhacs,Person,Female,US,1943,,Mill Valley,,,United States,,,7a56677b-1dbc-4df5-9cc5-1ea198dd788e,Mill Valley,"Mill Valley, Marin County, California, United States",
f2492c31-54a8-4347-a1fc-f81f72873bbf,Mac DeMarco,Person,Male,CA,1990-04-30,,Duncan,,,Canada,,,b43eccfe-628c-41d1-a257-cc07ed19942c,Duncan,"Duncan, British Columbia, Canada",
26eebe2e-c9c8-4a48-93e1-39ccda0bae5f,Deantoni Parks,Person,Male,US,1977-11-02,,Newnan,,,United States,,,a642c853-a86e-4297-830d-c726fde62f63,Newnan,"Newnan, Coweta County, Georgia, United States",
b03bbf4e-4c7a-4acc-8d30-71c360d95b4b,Sports,Group,,,2007-08-04,,,,,,,,,,,
5882e375-503f-4bd2-89b1-967e0bfcb199,Ariel Pink,Person,Male,US,1978-06-24,,Los Angeles,,,United States,,,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,"Los Angeles, Los Angeles County, California, United States",
b476bc5e-19ca-4e5a-82c8-1a068d601a7d,Nosaj Thing,Person,Male,US,,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
3a4dbe08-8189-4207-a92e-93c6a054f71f,Benji Hughes,Person,Male,US,,,Charlotte,,,United States,,,a647136e-1680-4456-bd3a-750752331141,Charlotte,"Charlotte, Mecklenburg County, North Carolina, United States",
73571028-9318-4090-ab36-c111974e195b,A Sunny Day in Glasgow,Group,,US,2006,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
0c085548-8a13-4c6a-ad32-2e773cc81717,Rachel Sweet,Person,Female,US,1962-07-28,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
c367255b-e18f-4fa6-a245-bbeb1ae059e6,Silicon,,,,,,,,,,,,,,,
bf659d74-0b61-488c-8a7d-594f43bed9e0,Bo Diddley,Person,Male,US,1928-12-30,2008-06-02,McComb,,,United States,,,ff7eb755-8d72-447f-a5f2-d7a4350cafd5,McComb,"McComb, Pike County, Mississippi, United States",
1a9a8ca0-ea8e-4e9e-96aa-288155bb2c5d,Todd Rundgren,Person,Male,,1948-06-22,,Upper Darby Township,,,Princeville,,,b4b5c938-4323-4821-b85f-41cb891aa163,Upper Darby Township,"Upper Darby Township, Delaware County, Pennsylvania, United States",
