id,name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng,place_id,place,place_full,place_latlng
ab0ca595-e4ee-402d-bc78-72b0fea4da77,Athenaeum,Group,,US,1990,2004-12-28,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,Chumbawamba,Group,,GB,1982,2012,Leeds,,,United Kingdom,,,400bdd75-a3a0-48e2-a6ae-c4733366aff3,Leeds,"Leeds, West Yorkshire, England, United Kingdom","53.717437,-1.5925588"
a9ee533f-8871-4f62-a6bb-91eb264abc90,Fiona Apple,Person,Female,US,1977-09-13,,Manhattan,,,United States,,,261962ea-d8c2-4eaf-a80c-f14376ffadb0,Manhattan,"Manhattan, New York, New York, United States","40.7902778,-73.9597221"
6f033da5-396f-4381-a581-1f38c2d0a2d4,Meredith Brooks,Person,Female,US,1958-06-12,,Corvallis,,,United States,,,6ed86dc3-bda5-48ca-a0c1-bef12363d6c7,Corvallis,"Corvallis, Benton County, Oregon, United States","44.5645659,-123.2620434"
84c38d3a-3400-4c28-b988-90558bb6fae0,BoDeans,Group,,US,1983,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
92046be7-0927-4835-a4ed-a90416747d53,Cornershop,Group,,GB,1991,,Leicester,,,United Kingdom,,,806b9b3b-5daf-4eaa-807d-7a2a29cde0da,Leicester,"Leicester, England, United Kingdom","52.6367811,-1.1312288"
c281ed6c-7faf-45f4-83a7-809de9d005c3,OMC,Group,,NZ,1993,2010-01-31,,,,New Zealand,,,8524c7d9-f472-3890-a458-f28d5081d9c4,New Zealand,New Zealand,
f7f4c28d-2a57-4c44-a74d-112105bbeaeb,LEN,Group,,CA,1991,,Toronto,,,Canada,,,74b24e62-d2fe-42d2-9d96-31f2da756c77,Toronto,"Toronto, Ontario, Canada","43.6529206,-79.3849007"
64cdc08f-ba6f-41fe-94be-452dc6d5108e,Marcy Playground,Group,,US,1997,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
696d8523-39a0-44e2-9add-afaa183a2f46,Sneaker Pimps,Group,,GB,1994,2005,Hartlepool,,,United Kingdom,,,1faace73-1d87-4bda-a419-2e8f7f73f836,Hartlepool,"Hartlepool, Hartlepool, England, United Kingdom","54.6957009,-1.200316"
b8ce9934-9ad5-4817-940c-44277703b0db,Gravity Kills,Group,,US,1994,,,,,United States,,,489ce91b-6658-3307-9877-795b68554c98,United States,United States,
9a8ac837-a0e0-4a56-a1cf-b677759a44e2,Sponge,Group,,US,1991,,Detroit,,,United States,,,b03ff310-d8e2-45cf-9455-769f76641eb2,Detroit,"Detroit, Wayne County, Michigan, United States","42.3486635,-83.0567374"
