image,stadium,city,state,team,conference,capacity,built,expanded
UAB at ECU football game 2009-11-21.JPG,Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,"50,000[46]",1963,2010
,,,,,,,,
Bill Snyder Family Stadium WSC.jpg,Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,"50,000[16]",1968[17],2005[17]
,,,,,,,,
Stanford Stadium field 6.JPG,Stanford Stadium,Stanford,CA,Stanford,Pac-12,"50,000[137]",2006[137],
,,,,,,,,
CarrierDome.jpg,Carrier Dome,Syracuse,NY,Syracuse,ACC,"49,250[33]",1980[33],
,,,,,,,,
Ryan Field.jpg,Ryan Field,Evanston,IL,Northwestern,Big Ten,"47,130",1926,1997
,,,,,,,,
Rice University Stadium.jpg,Rice Stadium,Houston,TX,Rice,C-USA,"47,000",1950,
,,,,,,,,
BYU at Air Force 2010-09-11.jpg,Falcon Stadium,Colorado Springs,CO,Air Force,Mountain West,"46,692[48]",1962,
,,,,,,,,
ReserStadium2012.jpg,Reser Stadium,Corvallis,OR,Oregon State,Pac-12,"45,674",1953,2005
,,,,,,,,
Bright House exterior on opening day.jpg,Bright House Networks Stadium,Orlando,FL,UCF,American,"45,323[23]",2007[23],
,,,,,,,,
McLane Stadium facingsouth7.16.14.jpg,McLane Stadium,Waco,TX,Baylor,Big 12,"45,140",2014,
,,,,,,,,
Rice-eccles Stadium.jpg,Rice-Eccles Stadium,Salt Lake City,UT,Utah,Pac-12,"45,017[120]",1998[121],1998[120]
,,,,,,,,
TCU Amon G. Carter Stadium.jpg,Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,"45,000[6]",1929[6],2012[6]
,,,,,,,,
Alumni Stadium stands.jpg,Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,"44,500[5]",1957[5],1995[5]
,,,,,,,,
Fresno State Jim Sweeny Field ( Bulldog Stadium).jpg,Bulldog Stadium,Fresno,CA,Fresno State,Mountain West,"41,031",1980[26],1992[26]
,,,,,,,,
Vanderbilt Stadium panorama.jpg,Vanderbilt Stadium,Nashville,TN,Vanderbilt,SEC,"40,350",1922,2004
Rentschler Field UConn.jpg,Rentschler Field,East Hartford,CT,Connecticut,American,"40,000[117]",2003[119],
,,,,,,,,
NippertStadium.JPG,Nippert Stadium,Cincinnati,OH,Cincinnati,American,"40,000[104]",1924[104],2015[104]
,,,,,,,,
"Houston Football Stadium north side stands construction, September 2013.jpg",TDECU Stadium,Houston,TX,Houston,American,"40,000",2014,
,,,,,,,,
UNM Stadium.jpg,University Stadium,Albuquerque,NM,New Mexico,Mountain West,"39,224[148]",1960[148],2007[148]
,,,,,,,,
MarshallStadium2.jpg,Joan C. Edwards Stadium,Huntington,WV,Marshall,C-USA,"38,019",1991,2000
,,,,,,,,
Michie Stadium West.jpg,Michie Stadium,West Point,NY,Army,Independent,"38,000[97]",1924[97],2001[97]
,,,,,,,,
Bronco Stadium - Boise ID.jpg,Albertsons Stadium,Boise,ID,Boise State,Mountain West,"37,000[2]",1970[2],2012[2]
,,,,,,,,
CajunField02 Fisheye.jpg,Cajun Field,Lafayette,LA,Louisiana-Lafayette,Sun Belt,"36,900",1971[29],
,,,,,,,,
UNLVSamBoydStadium.jpg,Sam Boyd Stadium,Whitney,NV,UNLV,Mountain West,"36,800[127]",1971[127],1999[127]
,,,,,,,,
Therock.jpg,M. M. Roberts Stadium,Hattiesburg,MS,Southern Miss,C-USA,"36,000",1932,2008
,,,,,,,,
HA-Chapman-Stadium-Tulsa.JPG,Skelly Field at H. A. Chapman Stadium,Tulsa,OK,Tulsa,American,"35,542[131]",1930[131],2005[131]
,,,,,,,,
"Hughes Stadium, Fort Collins, CO.jpg",Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State,Mountain West,"34,400[132]",1968[134],2006[134]
,,,,,,,,
2005 Stanford-Navy Game at Navy-Marine Corps Memorial Stadium.jpg,Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,American,"34,000[101]",1959[101],2005[101]
,,,,,,,,
Wallace Wade Stadium 2005 Virginia Tech at Duke.jpg,Wallace Wade Stadium,Durham,NC,Duke,ACC,"33,941[155]",1929[155],2014
,,,,,,,,
USAJaguarsFootball.jpg,Ladd Peebles Stadium,Mobile,AL,South Alabama,Sun Belt,"33,500",1948,2009
,,,,,,,,
Kelly shorts.jpg,Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,MAC,"32,885",1972[72],1997[72]
,,,,,,,,
2008-1018-002-WSUMartinStadiumpan.JPG,Martin Stadium,Pullman,WA,Washington State,Pac-12,"32,248",1972,2000
,,,,,,,,
Gerald J Ford Stadium.jpg,Gerald J. Ford Stadium,University Park,TX,SMU,American,"32,000[55]",2000[55],
,,,,,,,,
BBT Field Deacon Tower Wake Forest University football stadium.jpg,BB&T Field,Winston-Salem,NC,Wake Forest,ACC,"31,500",1968,2007
,,,,,,,,
Floyd Stadium panoramic.jpg,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee,C-USA,"31,000",1933,1998
,,,,,,,,
Arkansas State - Field View.jpg,Centennial Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,"30,964[36]",1974[36],2002[36]
,,,,,,,,
Apogee Stadium front.jpg,Apogee Stadium,Denton,TX,North Texas,C-USA,"30,850",2011,
,,,,,,,,
Another look at Joe Aillet Stadium IMG 3708.JPG,Joe Aillet Stadium,Ruston,LA,Louisiana Tech,C-USA,"30,600",1968[66],1989[66]
,,,,,,,,
SS pan.jpg,Spartan Stadium,San Jose,CA,San Jose State,Mountain West,"30,456",1933,1985
,,,,,,,,
"ULM Warhawks Stadium, Monroe, LA IMG 2779.JPG",Malone Stadium,Monroe,LA,Louisiana-Monroe,Sun Belt,"30,427",1978,1993
,,,,,,,,
Aggie Memorial Stadium - West Side Stands & Press Box 01.JPG,Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Sun Belt,"30,343[1]",1978[1],2005[1]
,,,,,,,,
WaldoStadium1.jpg,Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,"30,200[153]",1939[154],2003[154]
,,,,,,,,
Rynearsonwide-B-121107.jpg,Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,"30,200[126]",1969[126],1992[126]
,,,,,,,,
Mackay 4oct2014.jpg,Mackay Stadium,Reno,NV,Nevada,Mountain West,"30,000[81][82]",1966[82],2016[83]
,,,,,,,,
Bobcat Stadium West Side.jpg,Bobcat Stadium,San Marcos,TX,Texas State,Sun Belt,"30,000[64]",1981[64],2012[64]
,,,,,,,,
InfoCision opening day2.JPG,Summa Field at InfoCision Stadium,Akron,OH,Akron,MAC,"30,000[139]",2009,
FAUStadium night.jpg,FAU Stadium,Boca Raton,FL,Florida Atlantic,C-USA,"30,000",2011,
,,,,,,,,
Movie Gallery Stadium.JPG,Veterans Memorial Stadium,Troy,AL,Troy,Sun Belt,"30,000",1950,2003
,,,,,,,,
Yulman Stadium Homecoming.jpg,Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,"30,000",2014,
,,,,,,,,
War Memorial Stadium.JPG,War Memorial Stadium,Laramie,WY,Wyoming,Mountain West,"29,181[156]",1950[156],2010[156]
,,,,,,,,
UB Stadium Wide.JPG,UB Stadium,Amherst,NY,Buffalo,MAC,"29,013[150]",1993[150],
NewGeorgiaDome.JPG,Georgia Dome,Atlanta,GA,Georgia State,Sun Belt,"28,155[54]",1992[1],
,,,,,,,,
GlassBowl1.jpg,Glass Bowl,Toledo,OH,Toledo,MAC,"26,248",1937,1990
,,,,,,,,
Romney stadium usu football.jpg,Romney Stadium,Logan,UT,Utah State,Mountain West,"25,513",1968,1980
,,,,,,,,
Northern Illinois Huskie Stadium.jpg,Huskie Stadium,DeKalb,IL,NIU,MAC,"25,500[22]",1965[22],1995[22]
,,,,,,,,
