image,stadium,city,state,team,conference,capacity,built,expanded
RobinsStadium11132010.jpg,E. Claiborne Robins Stadium,Richmond,Virginia,Richmond Spiders,CAA,"9,000",2010,
"Estes Stadium, Conway, Arkansas.jpg",Estes Stadium,Conway,Arkansas,Central Arkansas Bears,Southland,"9,000",1939,2012[31]
,,,,,,,,
EWU-Roos-Field.jpg,Roos Field,Cheney,Washington,Eastern Washington Eagles,Big Sky,"8,600[88]",1967[88],
Northern Colorado Bears - Nottingham Field main stands picture number 1.JPG,Nottingham Field,Greeley,Colorado,Northern Colorado Bears,Big Sky,"8,533[72]",1995,
Ecclescoliseumatnight.jpg,Eccles Coliseum,Cedar City,Utah,Southern Utah Thunderbirds,Big Sky,"8,500[29]",1967,1997[29]
,Bob Ford Field,Albany,New York,Albany Great Danes,CAA[11],"8,500",2013,N/A
,Ernest W. Spangler Stadium,Boiling Springs,North Carolina,Gardner–Webb Runnin' Bulldogs,Big South,"8,500",1969,
,Fifth Third Bank Stadium,Kennesaw,Georgia,Kennesaw State Owls,Big South,"8,318",2010,N/A
,Kenneth P. LaValle Stadium,Stony Brook,New York,Stony Brook Seawolves,CAA,"8,200[62]",2002[62],
,Graham Stadium,Martin,Tennessee,UT Martin Skyhawks,Ohio Valley,"8,000[44]",1964,
"Cowell Stadium, UNH, Durham NH.jpg",Cowell Stadium,Durham,New Hampshire,New Hampshire Wildcats,CAA,"8,000",1936,
Ted Wright Stadium 2013.jpg,Ted Wright Stadium,Savannah,Georgia,Savannah State Tigers,MEAC,"7,500",1967,
Southeastern parking garage 2010-01-08.JPG,Strawberry Stadium,Hammond,Louisiana,Southeastern Louisiana Lions,Southland,"7,408",1936,2008[96]
,,,,,,,,
,Alumni Stadium,Dover,Delaware,Delaware State Hornets,MEAC,"7,000",1980,
,Coffey Field,The Bronx,New York,Fordham Rams,Patriot,"7,000",1930,
Samford University Seibert Stadium.jpg,Seibert Stadium,Homewood,Alabama,Samford Bulldogs,Southern,"6,700[92]",1958[92],
,,,,,,,,
,Bailey Memorial Stadium,Clinton,South Carolina,Presbyterian Blue Hose,Big South,"6,500[9]",2002[9],
Richardson Stadium.JPG,Richardson Stadium,Davidson,North Carolina,Davidson Wildcats,Pioneer,"6,000[87]",1923[87],1998[87]
,Gayle and Tom Benson Stadium,San Antonio,Texas,Incarnate Word Cardinals,Southland,"6,000[38]",2008,2010
,,,,,,,,
,Blackshear Field,Prairie View,Texas,Prairie View A&M Panthers,SWAC,"6,000[10]",1960,
,Spec Martin Municipal Stadium,DeLand,Florida,Stetson Hatters,Pioneer,"6,000",1941,
San diego-ca USan Diego Torero Stad09.jpg,Torero Stadium,San Diego,California,San Diego Toreros,Pioneer,"6,000",1961,
ButlerBowl8.JPG,Butler Bowl,Indianapolis,Indiana,Butler Bulldogs,Pioneer,"5,500[19]",1928[19],2010 [20]
Meade-West2.JPG,Meade Stadium,Kingston,Rhode Island,Rhode Island Rams,CAA,"5,180[67]",1928[67],2003[67]
Tenney Stadium Marist vs Sacred Heart Image 2.JPG,Leonidoff Field,Poughkeepsie,New York,Marist Red Foxes,Pioneer,"5,000[65]",1968[65],2007[65]
"Grandstands from the berm, Husky Stadium - Football.JPG",Husky Stadium[49],Houston,Texas,Houston Baptist Huskies,Southland,"5,000[50]",2014[51],N/A
,Brown Field,Valparaiso,Indiana,Valparaiso Crusaders,Pioneer,"5,000[16]",1919[16],
,Barker–Lane Stadium,Buies Creek,North Carolina,Campbell Fighting Camels,Pioneer,"5,000",2008,
DBMilne Field.jpg,D. B. Milne Field,Jacksonville,Florida,Jacksonville Dolphins,Pioneer,"5,000",1998,
,Bulldog Stadium,Smithfield,Rhode Island,Bryant Bulldogs,Northeast,"4,400[18]",1999[18],
,Kessler Field,West Long Branch,New Jersey,Monmouth Hawks,Big South,"4,000[63]",1993[63],
,,,,,,,,
,Buccaneer Field,North Charleston,South Carolina,Charleston Southern Buccaneers,Big South,"4,000",1970,
,Campus Field,Fairfield,Connecticut,Sacred Heart Pioneers,Northeast,"4,000",1993,
,Arute Field,New Britain,Connecticut,Central Connecticut State Blue Devils,Northeast,"3,500",1969,
DeGol Field.jpg,DeGol Field,Loretto,Pennsylvania,Saint Francis Red Flash,Northeast,"3,500",2006,
,Wagner College Stadium,Staten Island,New York,Wagner Seahawks,Northeast,"3,300[99]",1967[99],
WaltonStadium1.jpg,Joe Walton Stadium,Moon Township,Pennsylvania,Robert Morris Colonials,Northeast,"3,000[58]",2005[58],
Multi-Sport Field.jpg,Cooper Field,Georgetown,"Washington, D.C.",Georgetown Hoyas,Patriot,"2,500[71]",2005,
RooneyField1.jpg,Arthur J. Rooney Athletic Field,Pittsburgh,Pennsylvania,Duquesne Dukes,Northeast,"2,200[7]",1993[8],2011[8]
